tarif_id;produit_id;client_id;prix_unitaire_ht;remise_pct;date_debut_validite;date_fin_validite;devise;conditions
TAR-0032;PRD-0019;STANDARD;141.62;10.4;2022-01-12;;EUR;
TAR-0033;PRD-0008;CLI-0004;72.35;18.8;2024-06-20;2026-03-15;EUR;Franco
TAR-0034;PRD-0012;CLI-0006;183.75;2.8;2021-03-23;2022-05-15;EUR;Rendu site
TAR-0035;PRD-0010;CLI-0966;164.48;0;2023-11-08;2025-05-07;EUR;Départ usine
TAR-0036;PRD-0003;STANDARD;191.27;5.3;2021-01-16;2021-06-22;EUR;
TAR-0037;PRD-0007;CLI-0032;155.11;0.9;2021-05-28;;EUR;Franco
TAR-0038;PRD-0132;CLI-0049;182.22;0;2023-07-13;2024-11-28;EUR;Franco
TAR-0039;PRD-0021;STANDARD;149.27;0;2021-05-29;2022-08-28;EUR;Rendu site
TAR-0040;PRD-0010;CLI-0026;164.48;19.9;2021-11-17;2023-08-15;EUR;Rendu site
TAR-0041;PRD-0005;CLI-0040;173.47;0;2021-01-23;2022-11-10;EUR;Franco
TAR-0042;PRD-0176;CLI-0022;61.15;12.8;2022-12-06;2023-10-08;EUR;Départ usine
TAR-0043;PRD-0020;STANDARD;36.52;7.3;2021-04-22;2023-02-03;EUR;Franco
TAR-0044;PRD-0007;CLI-0004;71.62;0;2022-04-26;2022-11-04;EUR;Départ usine
TAR-0045;PRD-0015;CLI-0009;116.96;0;2023-01-17;2024-03-05;EUR;Rendu site
TAR-0046;PRD-0008;CLI-0016;168.07;0;2022-11-11;2024-06-14;EUR;Rendu site
TAR-0047;PRD-0004;CLI-0016;171.79;1.9;2024-01-09;2024-10-26;EUR;Franco
TAR-0048;PRD-0017;CLI-0023;81.21;13.5;2021-03-17;2022-12-31;EUR;Départ usine
TAR-0049;PRD-0008;CLI-0041;27.04;0;2021-07-05;2022-11-13;EUR;Départ usine
TAR-0050;PRD-0026;CLI-0045;102.97;24.2;2022-01-02;2023-11-02;EUR;
TAR-0051;PRD-0002;CLI-0047;53.09;9.7;2024-10-01;2025-07-29;EUR;
TAR-0052;PRD-0002;CLI-0008;193.7;9.4;2022-07-15;2023-07-09;EUR;
TAR-0053;PRD-0021;STANDARD;50.54;8.6;2022-04-02;2023-12-11;EUR;
TAR-0054;PRD-0001;STANDARD;33.37;0;2024-08-10;2025-08-22;EUR;Rendu site
TAR-0055;PRD-0004;CLI-0004;144.14;0;2023-09-08;2025-04-10;EUR;
TAR-0056;PRD-0105;CLI-0002;126.02;0;2024-03-18;;EUR;Départ usine
TAR-0057;PRD-0013;CLI-0024;175.74;11.8;2022-08-04;2023-01-28;EUR;
TAR-0058;PRD-0014;CLI-0019;36.62;0;2022-06-26;2023-03-14;EUR;
TAR-0059;PRD-0003;CLI-0052;3.61;4.4;2023-10-30;2025-04-01;EUR;Franco
TAR-0060;PRD-0018;STANDARD;96.6;19.4;2024-05-20;2026-02-21;EUR;
TAR-0061;PRD-0012;CLI-0039;46.13;19.0;2023-02-20;2024-05-13;EUR;Franco
TAR-0062;PRD-0009;STANDARD;171.85;0;2024-01-19;2025-06-10;EUR;Franco
TAR-0063;PRD-0004;CLI-0010;137.65;6.3;2023-01-12;2023-07-30;EUR;
TAR-0064;PRD-0020;CLI-0045;40.98;12.1;2024-02-16;2025-09-22;EUR;Rendu site
TAR-0065;PRD-0025;CLI-0029;24.08;19.7;2024-12-03;2025-08-15;EUR;Franco
TAR-0066;PRD-0021;CLI-0911;164.7;0;2024-05-14;;EUR;Rendu site
TAR-0067;PRD-0002;CLI-0026;122.91;4.4;2024-12-28;;EUR;
TAR-0068;PRD-0007;CLI-0050;57.42;0;2024-05-12;2026-01-14;EUR;Départ usine
TAR-0069;PRD-0012;STANDARD;31.74;0;2023-03-30;2024-06-23;EUR;Départ usine
TAR-0070;PRD-0024;CLI-0036;57.11;5.7;2024-04-08;2025-06-28;EUR;Départ usine
TAR-0071;PRD-0013;STANDARD;81.6;20.1;2021-05-29;2023-01-24;EUR;Rendu site
TAR-0072;PRD-0026;CLI-0042;112.76;21.6;2022-11-27;2024-06-08;EUR;
TAR-0073;PRD-0003;CLI-0049;135.48;0.2;2022-10-09;2024-03-04;EUR;Rendu site
TAR-0074;PRD-0003;CLI-0004;15.48;6.7;2023-09-03;2024-10-18;EUR;Départ usine
TAR-0075;PRD-0007;STANDARD;53.3;3.0;2022-05-27;2024-05-19;EUR;Franco
TAR-0076;PRD-0022;STANDARD;171.46;0;2023-09-15;2024-12-28;EUR;Rendu site
TAR-0077;PRD-0025;STANDARD;44.65;0;2021-04-21;2023-01-09;EUR;Franco
TAR-0078;PRD-0013;CLI-0031;195.31;0;2023-08-01;2024-09-17;EUR;Départ usine
TAR-0079;PRD-0004;CLI-0001;37.67;0;2022-07-06;2024-01-29;EUR;Départ usine
TAR-0080;PRD-0007;CLI-0017;170.91;5.7;2022-01-04;2023-11-10;EUR;Franco
TAR-0081;PRD-0026;CLI-0042;39.45;0;2021-11-03;2023-05-31;EUR;
TAR-0082;PRD-0021;CLI-0040;97.48;1.5;2024-03-08;2024-07-24;EUR;Rendu site
TAR-0083;PRD-0021;CLI-0001;72.38;0;2022-06-12;;EUR;Départ usine
TAR-0084;PRD-0021;STANDARD;156.13;22.2;2024-10-10;2026-06-14;EUR;
TAR-0085;PRD-0015;STANDARD;33.76;21.2;2022-11-22;2024-04-26;EUR;Franco
TAR-0086;PRD-0011;CLI-0041;142.17;23.5;2023-03-21;2024-03-22;EUR;
TAR-0087;PRD-0006;STANDARD;47.16;0;2024-12-06;2025-05-26;EUR;Franco
TAR-0088;PRD-0016;STANDARD;79.58;0;2021-06-20;2022-01-02;EUR;
TAR-0089;PRD-0008;CLI-0002;26.52;8.1;2021-02-28;2021-07-03;EUR;
TAR-0090;PRD-0018;CLI-0002;193.92;15.9;2021-12-29;2023-11-24;EUR;
TAR-0091;PRD-0021;CLI-0038;108.07;0;2023-06-24;2024-08-02;EUR;Rendu site
TAR-0092;PRD-0166;CLI-0046;57.57;0;2024-11-09;2026-06-25;EUR;Franco
TAR-0093;PRD-0026;STANDARD;1.74;0;2023-04-24;2025-02-16;EUR;
TAR-0094;PRD-0008;CLI-0025;103.47;20.2;2024-06-09;2025-06-12;EUR;
TAR-0095;PRD-0003;STANDARD;127.49;0;2022-07-12;2024-07-08;EUR;Départ usine
TAR-0096;PRD-0168;CLI-0913;56.64;0;2023-06-17;2023-09-23;EUR;
TAR-0097;PRD-0014;CLI-0017;92.9;1.4;2022-11-08;2023-04-29;EUR;
TAR-0098;PRD-0016;CLI-0001;163.5;6.2;2021-09-07;2022-08-17;EUR;Franco
TAR-0099;PRD-0024;CLI-0010;94.72;18.6;2022-10-02;2023-11-26;EUR;Franco
TAR-0100;PRD-0021;CLI-0033;172.77;0;2021-08-20;2022-07-17;EUR;Départ usine
TAR-0101;PRD-0019;CLI-0028;193.78;0;2024-11-15;2026-06-14;EUR;Franco
TAR-0102;PRD-0016;CLI-0045;125.14;3.1;2024-08-13;2025-04-17;EUR;Départ usine
TAR-0103;PRD-0018;CLI-0014;178.39;0;2021-02-13;2022-06-04;EUR;Franco
TAR-0104;PRD-0015;CLI-0011;38.2;0;2022-12-14;2024-02-08;EUR;Départ usine
TAR-0105;PRD-0005;CLI-0035;-73.61;0;2024-07-30;2026-03-30;EUR;Franco
TAR-0106;PRD-0012;STANDARD;144.28;19.1;2024-01-09;2025-05-09;EUR;Départ usine
TAR-0107;PRD-0011;CLI-0052;104.78;0;2021-09-23;2022-06-22;EUR;
TAR-0108;PRD-0002;CLI-0029;98.13;0;2024-04-23;;EUR;Franco
TAR-0109;PRD-0126;CLI-0022;93.77;20.6;2023-01-10;2024-11-01;EUR;Franco
TAR-0110;PRD-0009;CLI-0037;15.86;0;2023-11-30;2024-06-06;EUR;
TAR-0111;PRD-0017;CLI-0034;111.82;0;2021-08-05;2023-06-16;EUR;
TAR-0112;PRD-0006;CLI-0020;67.7;13.8;2024-05-13;2025-11-07;EUR;Rendu site
TAR-0113;PRD-0014;CLI-0013;64.89;18.6;2024-01-23;2024-11-27;EUR;Rendu site
TAR-0114;PRD-0015;STANDARD;7.22;0.2;2021-02-03;2022-10-16;EUR;Départ usine
TAR-0115;PRD-0011;CLI-0988;164.52;2.4;2023-11-14;2025-09-03;EUR;
TAR-0116;PRD-0005;CLI-0025;46.83;18.4;2021-07-08;2023-05-13;EUR;Rendu site
TAR-0117;PRD-0006;CLI-0009;115.37;9.5;2024-05-04;;EUR;Franco
TAR-0118;PRD-0011;CLI-0051;186.07;15.8;2022-04-10;2024-03-16;EUR;Franco
TAR-0119;PRD-0002;CLI-0007;100.63;14.4;2021-04-14;2022-08-19;EUR;Franco
TAR-0120;PRD-0010;STANDARD;67.43;0;2021-04-11;2023-01-22;EUR;
TAR-0121;PRD-0005;CLI-0027;97.73;6.2;2022-02-06;2023-12-02;EUR;Franco
TAR-0122;PRD-0014;CLI-0022;22.77;0;2023-01-19;2024-04-09;EUR;Franco
TAR-0123;PRD-0006;CLI-0014;88.61;0;2021-04-02;2022-02-25;EUR;Franco
TAR-0124;PRD-0002;CLI-0003;173.79;0;2021-01-29;2022-04-15;EUR;
TAR-0125;PRD-0011;CLI-0010;109.42;17.4;2024-01-29;2025-09-04;EUR;Franco
TAR-0126;PRD-0022;STANDARD;12.3;0;2024-11-27;2026-11-19;EUR;Franco
TAR-0127;PRD-0022;CLI-0029;72.24;0;2022-08-23;2023-12-21;EUR;Franco
TAR-0128;PRD-0016;CLI-0034;40.02;7.6;2024-02-23;;EUR;
TAR-0129;PRD-0006;CLI-0987;70.58;0;2022-04-29;2023-12-23;EUR;Rendu site
TAR-0130;PRD-0001;CLI-0049;30.6;0;2024-09-07;;EUR;Départ usine
TAR-0131;PRD-0019;CLI-0021;66.06;5.1;2022-02-28;2022-10-17;EUR;Départ usine
TAR-0132;PRD-0023;CLI-0039;199.14;0;2021-10-25;2023-08-24;EUR;Franco
TAR-0133;PRD-0005;CLI-0051;192.25;0;2024-07-28;2025-08-02;EUR;Départ usine
TAR-0134;PRD-0025;CLI-0021;113.54;0;2022-04-21;2023-03-13;EUR;
TAR-0135;PRD-0020;CLI-0034;170.47;0;2021-10-09;2022-06-23;EUR;Franco
TAR-0136;PRD-0014;CLI-0027;151.63;0;2023-06-19;2025-06-09;EUR;
TAR-0137;PRD-0014;STANDARD;147.15;14.8;2022-10-03;2024-02-08;EUR;Franco
TAR-0138;PRD-0015;CLI-0025;103.88;24.1;2021-03-22;2023-01-12;EUR;Départ usine
TAR-0139;PRD-0013;CLI-0041;92.43;11.6;2024-06-09;2024-11-01;EUR;
TAR-0140;PRD-0017;CLI-0009;109.42;0;2022-10-25;;EUR;Départ usine
TAR-0141;PRD-0003;CLI-0008;159.36;0;2021-09-11;2022-03-13;EUR;Rendu site
TAR-0142;PRD-0023;CLI-0020;122.53;0;2024-02-02;;EUR;Rendu site
TAR-0143;PRD-0022;STANDARD;29.18;24.0;2021-04-16;2022-09-17;EUR;Rendu site
TAR-0144;PRD-0004;CLI-0028;124.63;0.1;2023-07-29;2025-03-19;EUR;
TAR-0145;PRD-0019;CLI-0030;16.16;20.5;2022-05-17;2024-02-26;EUR;Départ usine
TAR-0146;PRD-0118;CLI-0003;170.81;0;2024-05-20;2025-06-19;EUR;Franco
TAR-0147;PRD-0006;STANDARD;132.29;0;2024-03-18;2026-01-12;EUR;Rendu site
TAR-0148;PRD-0003;CLI-0042;164.11;0;2024-02-02;2024-07-07;EUR;Rendu site
TAR-0149;PRD-0014;CLI-0006;11.92;0;2024-07-12;2026-04-04;EUR;Rendu site
TAR-0150;PRD-0011;CLI-0006;70.96;12.3;2024-02-27;2025-10-17;EUR;Départ usine
TAR-0151;PRD-0008;CLI-0028;23.91;10.4;2021-08-30;2022-06-28;EUR;Rendu site
TAR-0152;PRD-0026;STANDARD;40.48;19.2;2021-05-19;2022-06-28;EUR;Franco
TAR-0153;PRD-0011;CLI-0024;166.46;16.1;2022-11-24;2024-06-26;EUR;
TAR-0154;PRD-0015;CLI-0004;92.66;7.9;2021-04-25;2023-01-08;EUR;Franco
TAR-0155;PRD-0022;CLI-0040;70.91;0;2022-07-29;2022-11-27;EUR;Départ usine
TAR-0156;PRD-0013;STANDARD;156.53;0;2022-10-07;2023-02-06;EUR;Départ usine
TAR-0157;PRD-0010;CLI-0048;75.03;0;2022-02-18;2022-08-21;EUR;
TAR-0158;PRD-0005;CLI-0013;174.81;0;2022-11-02;2023-06-26;EUR;Départ usine
TAR-0159;PRD-0002;CLI-0050;23.43;0;2021-04-01;2023-02-28;EUR;Franco
TAR-0160;PRD-0025;CLI-0044;151.77;0;2022-03-06;2023-04-28;EUR;Rendu site
TAR-0161;PRD-0022;STANDARD;-54.95;0;2024-06-29;2026-04-23;EUR;Rendu site
TAR-0162;PRD-0009;CLI-0041;114.94;1.3;2022-09-30;2024-09-16;EUR;Franco
TAR-0163;PRD-0022;CLI-0022;85.47;11.1;2024-05-05;2026-04-01;EUR;Rendu site
TAR-0164;PRD-0007;CLI-0035;15.99;23.0;2023-08-12;2025-06-13;EUR;
TAR-0165;PRD-0010;CLI-0031;94.27;0;2021-10-22;2023-10-13;EUR;Départ usine
TAR-0166;PRD-0022;CLI-0007;90.82;0;2023-09-01;2024-03-24;EUR;Départ usine
TAR-0167;PRD-0012;STANDARD;20.86;0;2021-08-08;2022-10-05;EUR;Rendu site
TAR-0168;PRD-0013;STANDARD;48.97;0;2023-09-15;;EUR;
TAR-0169;PRD-0014;CLI-0009;47.46;0;2021-06-09;2023-04-17;EUR;
TAR-0170;PRD-0004;STANDARD;191.19;0;2021-08-11;2023-07-12;EUR;
TAR-0171;PRD-0002;CLI-0023;180.68;0;2021-01-01;2021-08-29;EUR;Rendu site
TAR-0172;PRD-0019;STANDARD;175.52;17.9;2024-10-23;2025-11-28;EUR;Rendu site
TAR-0173;PRD-0019;CLI-0965;81.02;1.3;2022-08-26;2023-01-26;EUR;Rendu site
TAR-0174;PRD-0010;STANDARD;140.53;0;2022-10-14;2024-02-07;EUR;Départ usine
TAR-0175;PRD-0016;CLI-0017;168.04;0;2024-10-04;2025-05-10;EUR;Franco
TAR-0176;PRD-0016;CLI-0002;17.21;23.3;2023-05-02;2024-11-08;EUR;Départ usine
TAR-0177;PRD-0014;CLI-0046;45.38;17.8;2021-01-16;2022-11-28;EUR;Rendu site
TAR-0178;PRD-0018;STANDARD;7.86;2.0;2023-01-25;2023-08-18;EUR;Rendu site
TAR-0179;PRD-0003;CLI-0025;94.65;14.5;2024-10-01;2025-03-19;EUR;Franco
TAR-0180;PRD-0018;CLI-0020;181.24;7.4;2022-11-10;2024-04-14;EUR;Départ usine
TAR-0181;PRD-0176;CLI-0044;52.31;7.3;2024-03-30;2024-12-18;EUR;Franco
TAR-0182;PRD-0003;STANDARD;156.82;0;2024-06-15;2025-06-27;EUR;Franco
TAR-0183;PRD-0019;CLI-0017;161.63;21.6;2024-12-06;2025-11-02;EUR;Rendu site
TAR-0184;PRD-0005;CLI-0011;150.63;4.2;2023-02-24;2024-01-23;EUR;Rendu site
TAR-0185;PRD-0133;STANDARD;33.77;13.3;2022-09-10;2024-04-09;EUR;
TAR-0186;PRD-0013;STANDARD;-174.09;17.1;2023-07-09;2024-11-01;EUR;Franco
TAR-0187;PRD-0018;CLI-0039;122.21;6.4;2022-07-13;2023-09-19;EUR;
TAR-0188;PRD-0022;CLI-0023;154.17;0;2024-10-19;2025-07-20;EUR;Franco
TAR-0189;PRD-0001;CLI-0005;89.35;0;2022-08-04;2023-07-17;EUR;Franco
TAR-0190;PRD-0176;CLI-0021;127.73;0;2021-09-03;2022-02-28;EUR;Départ usine
TAR-0191;PRD-0023;STANDARD;132.2;16.7;2023-07-18;2024-07-25;EUR;Rendu site
TAR-0192;PRD-0025;CLI-0042;77.9;0;2022-06-13;2023-06-09;EUR;Départ usine
TAR-0193;PRD-0006;STANDARD;108.26;2.6;2024-06-11;2024-12-26;EUR;Franco
TAR-0194;PRD-0024;CLI-0011;30.03;22.6;2021-03-19;2022-07-21;EUR;Franco
TAR-0195;PRD-0025;CLI-0013;156.25;20.4;2024-01-12;;EUR;
TAR-0196;PRD-0018;CLI-0005;60.77;8.5;2024-08-18;2025-02-16;EUR;
TAR-0197;PRD-0010;STANDARD;8.15;15.8;2022-01-27;2023-02-27;EUR;Rendu site
TAR-0198;PRD-0021;STANDARD;-7.43;0;2024-04-29;2025-03-29;EUR;Rendu site
TAR-0199;PRD-0026;CLI-0018;68.06;16.7;2021-03-29;2022-08-16;EUR;
TAR-0200;PRD-0018;CLI-0047;7.66;1.1;2024-09-01;2024-12-19;EUR;Départ usine
TAR-0201;PRD-0009;STANDARD;120.89;6.7;2023-02-21;2024-02-11;EUR;Départ usine
TAR-0202;PRD-0004;CLI-0001;42.5;0;2023-04-10;2024-01-29;EUR;Départ usine
TAR-0203;PRD-0006;CLI-0009;120.5;9.5;2025-05-05;;EUR;Franco
TAR-0204;PRD-0026;STANDARD;33.42;19.2;2025-04-17;2022-06-28;EUR;Franco
TAR-0205;PRD-0026;STANDARD;112.47;7.8;2024-09-01;2024-08-02;EUR;Franco
TAR-0206;PRD-0026;STANDARD;117.67;7.8;2023-03-06;2024-08-02;EUR;Franco
TAR-0207;PRD-0026;STANDARD;103.67;7.8;2023-12-12;2024-08-02;EUR;Franco
TAR-0208;PRD-0001;CLI-0005;95.73;0;2023-11-29;2023-07-17;EUR;Franco
