reservation_id;usager_id;date_reservation;date_transport;heure_souhaitee;adresse_depart;adresse_arrivee;statut;motif;besoin_fauteuil
RSV-0024;USG-0033;2025-06-01;2025-06-13;16:15;21 rue Depart;68 avenue Arrivee;Confirmee;Travail;Oui
RSV-0025;USG-0032;2025-05-03;2025-05-08;08:15;90 rue Depart;3 avenue Arrivee;Annulee;Loisir;Non
RSV-0026;USG-0015;2025-05-05;2025-05-15;19:45;118 rue Depart;92 avenue Arrivee;Confirmee;Demarche;Non
RSV-0027;USG-0017;2025-05-15;2025-05-18;10:15;25 rue Depart;2 avenue Arrivee;Confirmee;Loisir;Non
RSV-0028;USG-0033;2025-05-29;2025-06-01;08:45;42 rue Depart;65 avenue Arrivee;Confirmee;Loisir;Oui
RSV-0029;USG-0035;2025-05-28;2025-05-29;17:15;34 rue Depart;43 avenue Arrivee;Confirmee;Loisir;Non
RSV-0030;USG-0030;2025-04-30;2025-05-08;18:45;45 rue Depart;48 avenue Arrivee;Confirmee;Travail;Oui
RSV-0031;USG-0023;2025-06-09;2025-06-14;11:00;14 rue Depart;2 avenue Arrivee;Confirmee;Demarche;Non
RSV-0032;USG-0029;2025-05-06;2025-05-10;09:15;84 rue Depart;87 avenue Arrivee;Confirmee;Travail;Oui
RSV-0033;USG-0029;2025-06-09;2025-06-13;15:45;48 rue Depart;49 avenue Arrivee;Confirmee;Demarche;Oui
RSV-0034;USG-0037;2025-05-14;2025-05-26;15:45;88 rue Depart;84 avenue Arrivee;Confirmee;Travail;Oui
RSV-0035;USG-0031;2025-06-05;2025-06-08;10:30;57 rue Depart;104 avenue Arrivee;En attente;Demarche;Oui
RSV-0036;USG-0001;2025-05-11;2025-05-22;14:00;31 rue Depart;3 avenue Arrivee;Confirmee;Travail;Non
RSV-0037;USG-0018;2025-04-29;2025-05-12;17:15;31 rue Depart;68 avenue Arrivee;Confirmee;Travail;Oui
RSV-0038;USG-0042;2025-05-18;2025-05-26;15:00;49 rue Depart;73 avenue Arrivee;Annulee;Demarche;Oui
RSV-0039;USG-0045;2025-05-05;2025-05-09;08:45;84 rue Depart;39 avenue Arrivee;Confirmee;Demarche;Non
RSV-0040;USG-0011;2025-05-10;2025-05-18;19:45;80 rue Depart;6 avenue Arrivee;Confirmee;Travail;Non
RSV-0041;USG-0010;2025-05-26;2025-05-28;10:45;6 rue Depart;117 avenue Arrivee;En attente;Demarche;Non
RSV-0042;USG-0009;2025-05-03;2025-05-15;07:00;10 rue Depart;66 avenue Arrivee;En attente;Loisir;Oui
RSV-0043;USG-0035;2025-05-04;2025-05-19;17:15;42 rue Depart;103 avenue Arrivee;Annulee;Travail;Non
RSV-0044;USG-0034;2025-05-02;2025-05-13;07:15;81 rue Depart;111 avenue Arrivee;Confirmee;Demarche;Non
RSV-0045;USG-0031;2025-05-29;2025-06-04;13:15;32 rue Depart;20 avenue Arrivee;Confirmee;Demarche;Oui
RSV-0046;USG-0041;2025-05-14;2025-05-24;08:45;110 rue Depart;8 avenue Arrivee;Confirmee;Demarche;Non
RSV-0047;USG-0040;2025-05-26;2025-06-06;07:45;93 rue Depart;100 avenue Arrivee;Confirmee;Medical;Non
RSV-0048;USG-0011;2025-05-13;2025-05-20;17:15;57 rue Depart;76 avenue Arrivee;Confirmee;Travail;Non
RSV-0049;USG-0038;2025-05-19;2025-05-31;16:30;117 rue Depart;81 avenue Arrivee;Annulee;Demarche;Non
RSV-0050;USG-0033;2025-05-03;2025-05-11;14:00;83 rue Depart;18 avenue Arrivee;Confirmee;Loisir;Oui
RSV-0051;USG-0004;2025-05-18;2025-05-26;17:15;27 rue Depart;43 avenue Arrivee;Confirmee;Travail;Non
RSV-0052;USG-0042;2025-06-04;2025-06-09;09:15;56 rue Depart;18 avenue Arrivee;En attente;Loisir;Oui
RSV-0053;USG-0025;2025-04-19;2025-05-01;08:15;117 rue Depart;86 avenue Arrivee;Confirmee;Travail;Non
RSV-0054;USG-0004;2025-05-18;2025-05-22;12:45;51 rue Depart;72 avenue Arrivee;Confirmee;Demarche;Non
RSV-0055;USG-0042;2025-05-31;2025-06-14;09:45;23 rue Depart;42 avenue Arrivee;Confirmee;Demarche;Oui
RSV-0056;USG-0035;2025-06-06;2025-06-07;17:15;98 rue Depart;56 avenue Arrivee;Confirmee;Loisir;Non
RSV-0057;USG-9118;2025-06-08;2025-06-09;18:45;9 rue Depart;21 avenue Arrivee;Confirmee;Travail;Non
RSV-0058;USG-0022;2025-05-13;2025-05-17;10:15;57 rue Depart;3 avenue Arrivee;Confirmee;Medical;Non
RSV-0059;USG-0033;2025-05-19;2025-05-22;15:15;95 rue Depart;64 avenue Arrivee;Annulee;Travail;Oui
RSV-0060;USG-0008;2025-05-19;2025-05-30;08:30;109 rue Depart;112 avenue Arrivee;Confirmee;Travail;Non
RSV-0061;USG-0029;2025-05-12;2025-05-15;15:15;29 rue Depart;32 avenue Arrivee;Confirmee;Medical;Oui
RSV-0062;USG-0018;2025-05-16;2025-05-20;08:15;1 rue Depart;88 avenue Arrivee;Confirmee;Demarche;Oui
RSV-0063;USG-0024;2025-04-29;2025-05-08;10:30;2 rue Depart;103 avenue Arrivee;Confirmee;Demarche;Oui
RSV-0064;USG-0006;2025-06-03;2025-06-14;15:45;32 rue Depart;48 avenue Arrivee;Confirmee;Loisir;Non
RSV-0065;USG-0040;2025-05-27;2025-05-28;14:00;101 rue Depart;99 avenue Arrivee;Confirmee;Medical;Non
RSV-0066;USG-0007;2025-05-17;2025-05-26;10:00;118 rue Depart;71 avenue Arrivee;Confirmee;Demarche;Non
RSV-0067;USG-0010;2025-06-11;2025-06-14;16:30;110 rue Depart;34 avenue Arrivee;Confirmee;Loisir;Non
RSV-0068;USG-0002;2025-05-16;2025-05-18;15:30;53 rue Depart;86 avenue Arrivee;Annulee;Demarche;Oui
RSV-0069;USG-0008;2025-05-30;2025-06-12;09:30;69 rue Depart;95 avenue Arrivee;En attente;Demarche;Non
RSV-0070;USG-0032;2025-06-03;2025-06-06;11:15;100 rue Depart;29 avenue Arrivee;Annulee;Demarche;Non
RSV-0071;USG-0005;2025-05-09;2025-05-16;14:15;90 rue Depart;50 avenue Arrivee;Confirmee;Demarche;Non
RSV-0072;USG-0035;2025-05-30;2025-06-04;18:00;93 rue Depart;68 avenue Arrivee;Confirmee;Loisir;Non
RSV-0073;USG-0044;2025-05-28;2025-05-31;13:45;93 rue Depart;16 avenue Arrivee;Confirmee;Travail;Non
RSV-0074;USG-0016;2025-05-25;2025-06-09;16:30;44 rue Depart;18 avenue Arrivee;Confirmee;Loisir;Non
RSV-0075;USG-0019;2025-06-05;2025-06-06;18:45;48 rue Depart;55 avenue Arrivee;Confirmee;Demarche;Non
RSV-0076;USG-0015;2025-06-08;2025-06-12;15:45;10 rue Depart;27 avenue Arrivee;Confirmee;Travail;Non
RSV-0077;USG-0033;2025-05-14;2025-05-20;09:15;37 rue Depart;11 avenue Arrivee;Annulee;Demarche;Oui
RSV-0078;USG-0016;2025-05-26;2025-05-29;19:00;38 rue Depart;65 avenue Arrivee;En attente;Medical;Non
RSV-0079;USG-0015;2025-05-06;2025-05-11;11:30;99 rue Depart;100 avenue Arrivee;Confirmee;Travail;Non
RSV-0080;USG-0029;2025-04-28;2025-05-03;12:15;113 rue Depart;55 avenue Arrivee;En attente;Medical;Oui
RSV-0081;USG-0013;2025-04-27;2025-05-11;07:15;16 rue Depart;19 avenue Arrivee;Confirmee;Medical;Oui
RSV-0082;USG-0004;2025-05-08;2025-05-16;14:30;24 rue Depart;89 avenue Arrivee;Annulee;Loisir;Non
RSV-0083;USG-9809;2025-06-04;2025-06-08;11:45;77 rue Depart;81 avenue Arrivee;Confirmee;Medical;Non
RSV-0084;USG-0035;2025-04-30;2025-05-13;11:15;64 rue Depart;3 avenue Arrivee;Annulee;Travail;Non
RSV-0085;USG-0021;2025-05-23;2025-06-04;14:30;108 rue Depart;19 avenue Arrivee;Confirmee;Travail;Non
RSV-0086;USG-0038;2025-05-06;2025-05-21;08:15;48 rue Depart;86 avenue Arrivee;Confirmee;Travail;Non
RSV-0087;USG-0020;2025-06-11;2025-06-12;13:45;59 rue Depart;29 avenue Arrivee;Confirmee;Loisir;Non
RSV-0088;USG-0008;2025-06-02;2025-06-08;13:00;84 rue Depart;25 avenue Arrivee;Confirmee;Medical;Non
RSV-0089;USG-0015;2025-05-29;2025-06-11;19:15;23 rue Depart;34 avenue Arrivee;Annulee;Demarche;Non
RSV-0090;USG-0043;2025-05-10;2025-05-12;16:00;40 rue Depart;72 avenue Arrivee;Confirmee;Loisir;Oui
RSV-0091;USG-0043;2025-05-14;2025-05-21;17:45;105 rue Depart;114 avenue Arrivee;En attente;Demarche;Oui
RSV-0092;USG-0037;2025-05-22;2025-05-30;19:45;20 rue Depart;95 avenue Arrivee;Confirmee;Medical;Oui
RSV-0093;USG-0028;2025-05-09;2025-05-24;10:00;90 rue Depart;110 avenue Arrivee;Confirmee;Loisir;Non
RSV-0094;USG-0012;2025-05-02;2025-05-07;10:30;76 rue Depart;97 avenue Arrivee;Confirmee;Travail;Non
RSV-0095;USG-0011;2025-05-10;2025-05-18;19:45;80 rue Depart;6 avenue Arrivee;Confirmee;Travail;Non
RSV-0096;USG-0008;2025-05-30;2025-06-12;09:30;69 rue Depart;95 avenue Arrivee;Confirmee;Demarche;Non
RSV-0097;USG-0029;2025-05-26;2025-06-07;12:45;3 rue Depart;79 avenue Arrivee;Confirmee;Demarche;Oui
RSV-0098;USG-0010;2025-06-11;2025-06-14;16:30;110 rue Depart;34 avenue Arrivee;Confirmee;Loisir;Non
RSV-0099;USG-0018;2025-05-16;2025-05-20;08:15;1 rue Depart;88 avenue Arrivee;Confirmee;Demarche;Oui
RSV-0100;USG-0005;2025-05-09;2025-05-16;14:15;90 rue Depart;50 avenue Arrivee;Confirmee;Demarche;Non
