client_id;raison_sociale;statut_juridique;siret;adresse;code_postal;ville;telephone;email;secteur_activite;conditions_paiement;statut;date_creation_fiche;commercial_referent
CLI-0050;BOYER AGROALIMENTAIRE SARL;SARL;67007335669375;;37100;Amboise;;boyer@wanadoo.fr;Industrie;45 jours;Actif;2021-02-15;L. Bernard
CLI-0035;Arnaud Environnement;EURL;44152563374403;93 rue du Commerce;37500;Saint-Cyr-sur-Loire;02 47 12 51 31;arnaud@hotmail.fr;Services;30 jours fin de mois;Actif;2016-03-09;L. Bernard
CLI-0036;Lambert Chauffage;EURL;70651739611211;83 rue Nationale;37500;Fondettes;02 47 84 67 97;lambert@hotmail.fr;Transport;Comptant;Actif;2015-10-07;P. Martin
CLI-0044;Lefebvre & Fils;SARL;55953469207376;120 rue Grammont;37250;Saint-Cyr-sur-Loire;02 47 24 29 90;lefebvre@wanadoo.fr;;;Actif;2021-09-23;P. Martin
CLI-0023;Masson Outillage;SA;5644021284;131 rue des Halles;37170;Amboise;02 47 24 69 25;;BTP;30 jours fin de mois;Actif;2020-05-30;S. Durand
CLI-0021;Fontaine Recyclage EURL;EURL;46976694569801;;37210;Fondettes;02 47 69 98 48;fontaine@wanadoo.fr;Industrie;30 jours;Actif;2019-11-05;S. Durand
CLI-0006;Simon Électrique;SAS;63480660781151;61 rue Jean Jaurès;37400;Saint-Pierre-des-Corps;02 47 80 22 16;simon@gmail.com;Industrie;45 jours;Actif;2020-05-25;M. Petit
CLI-0043;David Constrouction SAS;SAS;26249804207627;33 rue de la République;37230;Loches;;;;60 jours;Inactif;2023-11-15;S. Durand
CLI-0012;Vincent Textile EURL;EURL;63651637154832;86 rue du Commerce;37170;Fondettes;02 47 37 75 70;vincent@free.fr;Commerce;45 jours;Actif;2023-06-04;P. Martin
CLI-0029;Renault Pièces Auto;SCI;08934193408146;9 rue Nationale;37500;La Riche;02 47 63 93 22;renault@outlook.com;Services;;Actif;2019-12-27;L. Bernard
CLI-0005;Laurent Distribution;SCI;;61 rue des Halles;37000;Saint avertin;02 47 19 90 17;laurent@wanadoo.fr;Santé;45 jours;Inactif;2017-05-27;M. Petit
CLI-0009;David Construction SAS;SAS;26249804207627;33 rue de la République;37230;Loches;;;;60 jours;Inactif;2023-12-05;S. Durand
CLI-0008;Garcia Services SASU;SASU;;77 rue du Commerce;3740;Montlouis-sur-Loire;02 47 79 48 88;garcia@orange.fr;BTP;60 jours;Actif;2016-07-04;L. Bernard
CLI-0013;Fournier Métallurgie SCI;SCI;04616426077141;114 rue de Bordeaux;37400; Tours;02 47 25 68 27;fournier@gmail.com;Santé;45 jours;Actif;2020-08-29;
CLI-0032;Chevalier Électronique;SA;78677242344046;144 rue Grammont;37230;Loches;;;Énergie;;Actif;2016-05-15;P. Martin
CLI-0045;Gouerin Pharmaceutique SARL;SARL;58174668074201;113 rue Nationale;37000;La Riche;02 47 26 91 72;;Services;30 jours;Actif;2023-10-13;M. Petit
CLI-0019;Guerin Pharmaceutique SARL;SARL;9617257598;113 rue Nationale;37000;La Riche;02 47 26 91 72;guerin@gmail.com;Services;30 jours;Actif;2015-07-30;M. Petit
CLI-0040;Legrand Câblage SA;SA;23598812685188;102 rue Grammont;37230;Loches;02 47 65 21 38;legrand@free.fr;Industrie;60 jours;Actif;2019-05-01;P. Martin
CLI-0014;Girard Chimie;SA;26756202235126;148 rue Colbert;37500;Amboise;02 47 17 36 63;girard@outlook.com;Énergie;Comptant;Inactif;2018-12-11;
